NCBI GeneID,Gene symbol,num of cells in which gene responds to hypoxia,Average fold change in hypoxia,consistent response in hypoxia,HIF score,HIF site rank,hypoxia rank,Final rank,Previously validated HIF target
1847,DUSP5,1,5.8,Yes,7,930,280,469,No
7436,VLDLR,3,5.7,Yes,8,880,48,306,No
30001,ERO1L,6,5.4,Yes,19,312,17,47,Yes
60370,AVPI1,1,5.4,Yes,28,177,322,92,No
1649,DDIT3,1,5.4,Yes,28,182,321,93,No
55647,RAB20,3,5.4,Yes,10,737,54,211,No
8553,BHLHB2,6,5.3,Yes,6,1011,20,359,Yes
23462,HEY1,2,5.3,Yes,7,963,101,380,No
22936,ELL2,3,5.1,Yes,5,1143,59,465,No
55818,JMJD1A,6,5.0,Yes,58,40,22,4,Yes
10625,IVNS1ABP,1,5.0,Yes,18,331,377,172,No
196441,CCDC131,1,5.0,Yes,14,492,372,259,No
2023,ENO1,6,5.0,Yes,7,910,23,310,Yes
10252,SPRY1,2,5.0,Yes,5,1100,111,473,No
23210,JMJD6,2,4.9,Yes,14,498,115,138,No
114088,TRIM9,2,4.8,Yes,53,50,122,17,No
7071,KLF10,6,4.8,Yes,26,210,26,24,No
3659,IRF1,1,4.8,Yes,9,761,418,443,No
494470,RNF165,1,4.7,Yes,31,156,426,130,No
5033,P4HA1,6,4.6,Yes,53,52,28,6,Yes
8974,P4HA2,4,4.6,Yes,19,316,45,53,Yes
5292,PIM1,3,4.6,Yes,19,311,71,61,No
23524,SRRM2,1,4.3,Yes,15,424,469,277,No
55214,LEPREL1,1,4.3,Yes,15,460,465,302,No
9570,GOSR2,3,4.2,Yes,40,97,81,18,No
6774,STAT3,2,4.2,Yes,16,413,141,118,No
54455,FBXO42,3,4.2,Yes,9,768,80,248,No
205428,C3orf58,2,4.2,Yes,5,1092,140,487,No
151556,GPR155,2,4.1,Yes,10,721,151,266,No
54541,DDIT4,4,4.0,Yes,84,8,55,5,Yes
51569,UFM1,2,4.0,Yes,31,149,156,40,No
57186,C20orf74,1,4.0,Yes,17,387,493,268,No
10628,TXNIP,2,3.9,Yes,32,144,162,41,No
23429,RYBP,3,3.9,Yes,9,749,89,243,No
125228,C18orf19,2,3.9,Yes,5,1064,164,485,No
23142,DCUN1D4,1,3.8,Yes,33,137,520,152,No
84706,GPT2,2,3.8,Yes,12,612,169,202,No
81855,SFXN3,3,3.8,Yes,10,698,92,210,No
55339,WDR33,2,3.7,Yes,60,35,180,21,No
7852,CXCR4,4,3.7,Yes,15,429,66,91,Yes
283417,DPY19L2,1,3.7,Yes,15,463,528,333,No
5230,PGK1,5,3.6,Yes,48,71,46,11,Yes
1808,DPYSL2,1,3.6,Yes,22,260,540,217,No
1615,DARS,3,3.6,Yes,7,950,97,370,No
3280,HES1,2,3.5,Yes,23,246,196,81,No
5165,PDK3,3,3.5,Yes,6,1046,105,425,No
9842,PLEKHM1,2,3.5,No,7,982,198,445,No
221079,ARL5B,2,3.5,Yes,6,1041,199,491,No
58528,RRAGD,3,3.4,Yes,21,282,106,64,No
25976,TIPARP,2,3.4,Yes,15,472,212,160,No
1392,CRH,1,3.4,Yes,36,123,565,162,No
8577,TMEFF1,2,3.4,Yes,13,521,218,184,No
51526,C20orf111,1,3.4,Yes,28,183,566,186,No
9770,RASSF2,1,3.4,Yes,23,251,570,231,No
440270,GOLGA8B,2,3.4,Yes,9,802,220,351,No
83856,FSD1L,1,3.4,Yes,11,645,568,474,No
79939,SLC35E1,2,3.3,Yes,19,319,223,112,No
23362,PSD3,1,3.3,Yes,85,7,576,131,No
134429,STARD4,2,3.3,Yes,17,368,233,136,No
79139,DERL1,1,3.3,Yes,67,22,597,141,No
81570,CLPB,2,3.3,Yes,14,495,225,174,No
6749,SSRP1,1,3.3,Yes,52,55,668,177,No
3516,RBPJ,4,3.3,Yes,11,680,75,191,No
10954,PDIA5,1,3.3,Yes,40,96,686,204,No
10783,NEK6,1,3.3,Yes,26,217,578,213,No
51631,LUC7L2,1,3.3,Yes,40,95,702,215,No
9060,PAPSS2,1,3.3,Yes,28,174,701,267,No
5996,RGS1,1,3.3,Yes,24,234,650,271,No
5277,PIGA,3,3.3,Yes,9,788,112,285,No
63934,ZNF667,2,3.3,Yes,11,670,237,289,No
4179,CD46,1,3.3,Yes,23,250,664,291,No
9844,ELMO1,1,3.3,Yes,15,458,586,368,No
3720,JARID2,1,3.3,Yes,13,559,577,413,No
3094,HINT1,1,3.3,Yes,15,473,673,421,No
5058,PAK1,1,3.3,Yes,15,437,712,423,No
83854,ANGPTL6,1,3.3,Yes,13,570,618,455,No
10806,SDCCAG8,1,3.3,Yes,12,575,655,486,No
9044,BTAF1,2,3.2,Yes,15,459,244,170,No
1317,SLC31A1,1,3.2,Yes,75,13,765,200,No
9217,VAPB,1,3.2,Yes,60,36,751,206,No
6843,VAMP1,1,3.2,Yes,43,86,811,280,No
54431,DNAJC10,1,3.2,Yes,26,205,795,342,No
5782,PTPN12,1,3.2,Yes,23,249,790,363,No
51114,ZDHHC9,2,3.2,Yes,8,834,248,385,No
4046,LSP1,1,3.2,Yes,18,334,760,391,No
673,BRAF,1,3.2,Yes,16,415,731,422,No
57458,TMCC3,1,3.2,Yes,17,369,794,433,No
8226,HDHD1A,1,3.2,Yes,17,392,781,440,No
114801,KIAA1913,1,3.2,Yes,15,434,806,492,No
10135,PBEF1,5,3.1,Yes,21,281,58,48,Yes
1997,ELF1,1,3.1,Yes,61,33,824,251,No
2644,GCHFR,1,3.1,Yes,55,45,813,252,No
8731,RNMT,3,3.1,Yes,6,1057,126,450,No
1399,CRKL,4,3.0,Yes,52,56,88,14,No
54985,HCFC1R1,2,3.0,Yes,21,280,260,110,No
4616,GADD45B,5,3.0,Yes,14,494,64,120,Yes
26297,SERGEF,2,3.0,Yes,16,409,263,157,No
5352,PLOD2,4,3.0,Yes,10,742,85,239,No
7597,ZBTB25,2,3.0,Yes,12,616,266,269,No
254251,LCORL,1,3.0,Yes,52,60,860,298,No
121457,IKIP,2,2.9,Yes,16,414,287,166,No
6713,SQLE,2,2.9,Yes,13,526,272,216,No
64746,ACBD3,1,2.9,Yes,36,119,868,329,No
2256,FGF11,1,2.9,Yes,23,247,879,405,No
56255,TXNDC13,2,2.9,Yes,8,881,290,439,No
6711,SPTBN1,2,2.9,Yes,7,904,276,446,No
11016,ATF7,1,2.9,Yes,18,339,867,467,No
23030,JMJD2B,5,2.8,Yes,23,245,68,44,Yes
9282,MED14,2,2.8,Yes,31,151,301,83,No
10848,PPP1R13L,2,2.8,Yes,31,158,295,84,No
1198,CLK3,4,2.8,Yes,13,553,94,147,No
53918,PELO,2,2.8,Yes,13,572,299,263,No
51026,GOLT1B,1,2.8,Yes,65,29,897,303,No
54800,KLHL24,4,2.8,Yes,7,933,93,354,No
4351,MPI,3,2.8,Yes,8,889,138,355,No
7163,TPD52,3,2.8,Yes,7,901,142,367,No
444,ASPH,3,2.7,Yes,53,51,154,20,No
5914,RARA,3,2.7,Yes,37,113,144,27,No
9337,CNOT8,2,2.7,Yes,41,93,336,75,No
10018,BCL2L11,2,2.7,Yes,28,184,323,96,No
54882,ANKHD1,2,2.7,Yes,28,192,318,97,No
821,CANX,2,2.7,Yes,13,533,315,247,No
84129,ACAD11,2,2.7,Yes,10,729,324,377,No
91452,ACBD5,2,2.7,Yes,9,781,317,394,No
3485,IGFBP2,2,2.7,Yes,9,804,331,412,Yes
2113,ETS1,1,2.7,Yes,25,222,919,418,Yes
54665,RSBN1,5,2.6,Yes,68,21,77,9,No
2800,GOLGA1,2,2.6,Yes,65,28,346,58,No
7511,XPNPEP1,2,2.6,Yes,52,54,342,69,No
1906,EDN1,2,2.6,Yes,37,117,349,87,Yes
3939,LDHA,4,2.6,Yes,15,470,100,123,Yes
84879,MFSD2,2,2.6,Yes,20,300,359,155,No
7046,TGFBR1,3,2.6,Yes,12,582,168,187,No
4849,CNOT3,1,2.6,Yes,36,121,927,371,No
10957,PNRC1,2,2.6,Yes,9,754,341,392,No
79665,DHX40,3,2.5,Yes,55,43,182,22,No
23081,JMJD2C,3,2.5,Yes,30,161,178,49,No
22822,PHLDA1,4,2.5,No,23,252,110,54,No
26127,FGFR1OP2,2,2.5,Yes,49,68,363,77,No
5351,PLOD1,4,2.5,Yes,15,445,117,122,No
6566,SLC16A1,3,2.5,Yes,15,442,183,143,No
5034,P4HB,2,2.5,Yes,17,366,364,183,No
91966,CXorf40A,2,2.5,Yes,12,596,386,326,No
204,AK2,4,2.5,Yes,8,878,113,331,No
9643,MORF4L2,1,2.5,Yes,37,106,943,373,No
7110,TMF1,2,2.4,Yes,95,3,397,71,No
55726,C12orf11,2,2.4,Yes,44,81,401,90,No
2908,NR3C1,4,2.4,Yes,17,391,121,98,No
5223,PGAM1,4,2.4,Yes,16,422,120,111,No
51400,PPME1,4,2.4,Yes,14,510,123,145,No
1942,EFNA1,3,2.4,Yes,13,537,187,179,No
221935,SDK1,1,2.4,Yes,28,187,990,441,No
7416,VDAC1,4,2.3,Yes,28,181,128,43,No
55858,TMEM165,2,2.3,Yes,36,127,445,125,No
9943,OXSR1,3,2.3,Yes,14,491,197,163,No
3098,HK1,4,2.3,Yes,11,671,125,214,Yes
9695,EDEM1,2,2.3,Yes,17,376,430,224,No
2571,GAD1,2,2.3,Yes,15,457,439,279,No
56997,CABC1,1,2.3,Yes,42,88,1007,393,No
375612,LHFPL3,1,2.3,Yes,36,128,1012,416,No
26502,NARF,3,2.2,Yes,48,72,232,38,No
51008,ASCC1,3,2.2,Yes,48,70,235,39,No
56987,BBX,2,2.2,Yes,17,389,462,249,No
57178,ZMIZ1,3,2.2,Yes,9,766,226,334,No
2804,GOLGB1,1,2.2,Yes,54,47,1036,386,No
2309,FOXO3,3,2.2,Yes,7,931,221,426,No
4299,AFF1,1,2.2,Yes,32,146,1016,432,No
5238,PGM3,1,2.2,Yes,28,186,1025,472,No
2597,GAPDH,4,2.1,Yes,65,24,139,16,Yes
868,CBLB,2,2.1,Yes,50,64,479,113,No
23321,TRIM2,3,2.1,Yes,9,771,251,352,No
9262,STK17B,1,2.1,Yes,33,135,1097,489,No
2058,EPRS,2,2.0,Yes,34,133,490,142,No
51762,RAB8B,3,2.0,Yes,15,450,256,171,No
8864,PER2,3,2.0,No,14,484,267,189,No
6619,SNAPC3,3,2.0,Yes,7,960,259,480,No
10687,PNMA2,2,1.9,Yes,21,278,524,222,No
23258,RAB6IP1,2,1.9,Yes,15,469,522,332,No
23480,SEC61G,3,1.8,Yes,85,6,308,45,No
55254,TMEM39A,2,1.8,Yes,40,98,527,144,No
7707,ZNF148,2,1.8,Yes,18,354,546,286,No
10657,KHDRBS1,2,1.8,No,17,373,536,290,No
64778,FNDC3B,2,1.8,Yes,13,528,541,383,No
1112,FOXN3,3,1.8,Yes,8,848,314,431,No
9867,PJA2,3,1.7,Yes,64,32,352,63,No
10209,EIF1,4,1.7,No,15,440,227,156,No
329,BIRC2,2,1.7,Yes,17,357,561,295,No
116068,LYSMD3,2,1.5,Yes,64,30,836,260,No
831,CAST,2,1.5,Yes,52,57,842,284,No
2744,GLS,4,1.0,No,15,447,496,313,No
2355,FOSL2,3,1.0,No,35,131,871,344,No
6659,SOX4,4,-0.8,No,31,155,837,335,No
6432,SFRS7,5,-0.9,No,32,142,457,135,No
10146,G3BP1,3,-1.0,Yes,36,124,849,323,No
11060,WWP2,2,-1.4,Yes,35,132,883,349,No
1965,EIF2S1,2,-1.6,Yes,30,162,752,292,No
9125,RQCD1,2,-1.6,Yes,33,134,816,316,No
8439,NSMAF,3,-1.6,Yes,12,580,413,336,No
